service_name,description,department,processing_time,required_documents,fees,contact_info,relevant_links,category,how_to_apply,official_portal
Birth Certificate Application,"Apply online for a child’s birth certificate in Kerala via the Ksmart or Sevana portal. Used for ID creation, school admission, visas, etc.",Local Self-Government Department (LSGD) Government of Kerala,"Within 7–10 business days (if registered within 21 days of birth), **After 21 days but within 30 days: Late fee of ₹2. After 30 days but within 1 year: Late fee of ₹5. After 1 year: Late fee of ₹10.**",Hospital Birth Proof; Aadhaar card; Parents' ID proof; Marriage certificate; Residential proof,"₹0 (within 21 days); ₹2–₹10 based on delay duration **(Note: specific fees for delayed registration are: ₹2 for 21-30 days, ₹5 for 30 days-1 year, ₹10 for after 1 year)**",Helpline: 0471-2555544; Email: info.ksmart@kerala.gov.in,"https://ksmart.lsgkerala.gov.in",Civil Registration,"Apply online via Ksmart or Sevana portal.",https://ksmart.lsgkerala.gov.in
Birth Certificate Download,"Download an existing birth certificate using the Sevana Civil Registration portal. Requires district and birth year details.",Local Self-Government Department (LSGD) Government of Kerala,Instant (if data is available online),"District; Local Body; Year of Birth; Child’s Name; Date of Birth","₹0",Helpdesk: 0471-2555544; Email: support.sevana@kerala.gov.in,"https://cr.lsgkerala.gov.in/",Civil Registration,"Visit the Sevana Civil Registration portal and enter required details.",https://cr.lsgkerala.gov.in
Death Certificate Application,"Register a death and apply for an official death certificate through the Civil Registration Department in Kerala. Required within 21 days of occurrence.",Local Self-Government Department (LSGD) Government of Kerala,"Varies (Instant to a few working days), **After 21 days but within 30 days: Late fee of ₹2. After 30 days but within 1 year: Late fee of ₹5. After 1 year: Late fee of ₹10.**",Proof of birth of deceased (Birth/SSLC certificate); Affidavit with date and time of death; Ration card copy; Application form; Medical certificate of cause of death,"₹0 (within 21 days); ₹2–₹10 (late fee); ₹2 (extract) **(Note: specific fees for delayed registration are: ₹2 for 21-30 days, ₹5 for 30 days-1 year, ₹10 for after 1 year)**",Helpdesk: 0471-2555544; Email: support.sevana@kerala.gov.in,"https://cr.lsgkerala.gov.in",Civil Registration,"Submit application to the Civil Registration Department within 21 days of occurrence.",https://cr.lsgkerala.gov.in
Death Certificate Download,"Search for and download an already registered death certificate online via the Sevana portal.",Local Self-Government Department (LSGD) Government of Kerala,Instant (if record is available online),"District; Local body; Year of death; Name of deceased; Date of death; Parent/Spouse name; Registration Number (if available); Key Number","₹0",Helpdesk: 0471-2555544; Email: support.sevana@kerala.gov.in,"https://cr.lsgkerala.gov.in",Civil Registration,"Visit the Sevana portal and enter required details.",https://cr.lsgkerala.gov.in
Marriage Certificate Registration,"Register marriages under Hindu Marriage Act, Kerala Common Marriage Rules, or Special Marriage Act via the Sevana portal. Must be done within 45 days (or within 1 year with late fees).",Local Self-Government Department (LSGD) Government of Kerala,"1–30 days (varies by Act and objection period)",Form I (application form); Form II (proof/declaration); Form III (signed at registrar); Age proof for both partners (SSLC/passport/license); Proof of marriage (venue certificate or declaration); Identity and address proof of bride and groom; Photographs; Memorandum signed by both with two witnesses,"₹120 (Normal); ₹10 (SC/ST/BPL); ₹100 (late within 1 year); ₹250 (after 1 year); ₹1103 (Special Marriage solemnization)",Registrar Office (LSGD); Sevana Portal Helpdesk: 0471-2555544,"https://cr.lsgkerala.gov.in",Civil Registration,"Apply via the Sevana portal within 45 days of marriage (or specific extended periods with late fees).",https://cr.lsgkerala.gov.in
Marriage Certificate Download,"Download a legally registered marriage certificate from the Sevana portal after successful application and verification.",Local Self-Government Department (LSGD) Government of Kerala,Instant (if registered and verified),"District; Local Body; Year of Marriage; Name of Groom or Bride; Marriage Registration Number (if available)","₹0 (Download only)",Registrar Office / Sevana Helpdesk,"https://cr.lsgkerala.gov.in",Civil Registration,"Visit the Sevana portal and provide marriage details.",https://cr.lsgkerala.gov.in
Sanchaya Property Tax,"Annual tax levied on buildings and land by the Kerala Local Self Government bodies. Can be paid online or offline.",Local Self-Government Department (LSGD) Government of Kerala,Instant (online),Door Number; Ward Number; Owner Details. Proof of ownership (if new).,"Based on plinth area and property usage. Penalty may apply for delay.","Phone: 0471-2773160; Email: epayment.ikm@kerala.gov.in","https://sanchaya.lsgkerala.gov.in",Property Tax,"Option 1: Quick Pay: 1. Visit Quick Pay Page; 2. Enter District, Local Body, Ward Year, Ward, Door/Sub Number; 3. Click ‘Search’; 4. Select payment period & proceed to pay. Option 2: Registered User Login: 1. Go to Sanchaya Portal; 2. Register/Login as citizen; 3. Choose 'ePayment' and follow on-screen instructions to complete payment.",https://sanchaya.lsgkerala.gov.in
Sanchaya Ownership Certificate,"Official document certifying legal ownership of a property.",Local Self-Government Department (LSGD) Government of Kerala,"Instant (download online)",Ward and Door Number; registered ownership record.,"Free (download online)","Phone: 0471-2773160; Email: epayment.ikm@kerala.gov.in","https://sanchaya.lsgkerala.gov.in",Property Tax,"1. Visit Sanchaya Portal; 2. Select District & Local Body; 3. Click 'Ownership Certificate'; 4. Enter Ward, Door/Sub Number; 5. View and download.",https://sanchaya.lsgkerala.gov.in
D&O (Dangerous & Offensive) License,"License required for businesses classified as dangerous or offensive, impacting public health or safety.",Local Self-Government Department (LSGD) Government of Kerala,"Varies by license type",Identity proof; trade/business details; location proof; photo; NOC from Fire Department (if applicable),"Varies by license type and trade risk","Phone: 0471-2773160; Email: epayment.ikm@kerala.gov.in","https://sanchaya.lsgkerala.gov.in",Business Facilitation,"1. Visit Sanchaya Portal; 2. Navigate to 'License Application'; 3. Select type, fill form, upload documents, and submit online.",https://sanchaya.lsgkerala.gov.in
"Water, Electricity, Telephone Bill Payment","Online payment service for utilities managed by local bodies under Kerala LSGD.",Local Self-Government Department (LSGD) Government of Kerala,Instant,"Consumer Number or Account ID","As per bill","Phone: 0471-2773160; Email: epayment.ikm@kerala.gov.in","https://sanchaya.lsgkerala.gov.in",Utility Services,"1. Visit Sanchaya Portal; 2. Select District & Local Body; 3. Choose relevant service and proceed to pay using Quick Pay.",https://sanchaya.lsgkerala.gov.in
